id,year,,make,model,trim,vin,is_new,exterior_color,interior_color,engine_cylinders,drive_train,transmission,transmission_desc,epa_city,epa_highway,fuel_type,selling_price,mileage,description,features,car links for description
35,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACED2PG245347,TRUE,Black,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,17,21,Gasoline Fuel,55080,8,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
36,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACEK2PG252703,TRUE,Sterling Gray Metallic,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,19,22,Gasoline Fuel,51340,9,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
37,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACEK2PG253088,TRUE,Black,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,19,22,Gasoline Fuel,60335,8,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
38,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 147"" LT",3GCPACEK3PG263452,TRUE,Black,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,19,22,Gasoline Fuel,52235,7,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
39,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACEK5PG252176,TRUE,Sterling Gray Metallic,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,19,22,Gasoline Fuel,51340,8,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
40,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACEK5PG255353,TRUE,Summit White,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,19,22,Gasoline Fuel,51580,9,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
41,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 147"" LT",3GCPACEK8PG255962,TRUE,Black,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,19,22,Gasoline Fuel,52290,9,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
42,2022,,Nissan,Pathfinder,Platinum 2WD,5N1DR3DH5NC203489,FALSE,Gun Metallic,Charcoal,6,Front Wheel Drive,Automatic,Automatic,21,26,Gasoline Fuel,40995,31502,"CARFAX One-Owner. Clean CARFAX. Gun Metallic 2022 Nissan Pathfinder Platinum FWD 9-Speed Automatic V6 Automatic temperature control, Cargo Area Protector, Cargo Net, Cargo Package, First Aid Kit, Front dual zone A/C, Navigation system: NissanConnect Navigation, Power Liftgate, Power moonroof, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Wheels: 20 Alloy w/Unique Finish.Recent Arrival! 21/26 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","Nissan Pathfinder blends family-hauling practicality with rugged looks and surprising off-road capability, making it a versatile adventurer for everyday and weekend thrills. ??",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
43,2023,,Chevrolet,Tahoe,4WD 4dr High Country,1GNSKTKL9PR392470,TRUE,Black,Jet Black,8,Four Wheel Drive,Automatic,Automatic,14,19,Gasoline Fuel,83900,2,,"
Tahoe conquers any road with its imposing presence, powerhouse engines, spacious family haven, and tech-guided confidence, making it an off-road-ready giant for boundless adventures. ?",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-tahoe-z71-1GNSKPKD8RR147906
44,2020,,Chevrolet,Colorado,"4WD Crew Cab 128"" LT",1GCGTCEN6L1203792,FALSE,Red Hot,Jet Black,6,Four Wheel Drive,Automatic,Automatic,17,24,Gasoline Fuel,31996,59607,"Prior Rental. CARFAX One-Owner. Red Hot 2020 Chevrolet Colorado LT 4WD 8-Speed Automatic V6 Prior Rental, Apple CarPlay, Exterior Parking Camera Rear, Preferred Equipment Group 4LT, Telescoping steering wheel, Tilt steering wheel, Wheels: 17 x 8 Blade Silver Metallic Cast Alloy.Recent Arrival! Odometer is 2033 miles below market average!Awards:* 2020 KBB.com Best Buy AwardsIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","Rugged workhorse with off-road bite, transforms into weekend warrior with optional muscle and towing power, all wrapped in Chevy's bold truck appeal",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
45,2023,,Chevrolet,Equinox,AWD 4dr RS,3GNAXWEG6PL254793,TRUE,Summit White,Jet Black,4,All Wheel Drive,Automatic,Automatic,24,30,Gasoline Fuel,37015,7,,"Stylishly spacious SUV, zips through commutes, fuels weekend escapes, versatile enough for family adventures, hints of sporty fun when unleashed.",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-equinox-ls-3GNAXHEG4RL138703
46,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 147"" LT",3GCPACEK1PG263451,TRUE,Black,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,19,22,Gasoline Fuel,52235,8,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
47,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACED6PG318249,TRUE,Red Hot,Gideon/Very Dark Atmosphere,4,Rear Wheel Drive,Automatic,Automatic,17,21,Gasoline Fuel,54435,5,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
48,2023,,Chevrolet,Trailblazer,FWD 4dr LT,KL79MPS22PB155860,TRUE,Sterling Gray Metallic,Jet Black,3,Front Wheel Drive,,Variable,29,31,Gasoline Fuel,29345,4,," Compact spice with big-SUV swagger, zips through city streets, embraces weekend adventures, tech-savvy companion for work and play.",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-trailblazer-ls-KL79MMSLXRB048937
49,2023,,Chevrolet,Trailblazer,FWD 4dr LT,KL79MPS29PB155743,TRUE,Sterling Gray Metallic,Jet Black,3,Front Wheel Drive,,Variable,29,31,Gasoline Fuel,29345,4,," Compact spice with big-SUV swagger, zips through city streets, embraces weekend adventures, tech-savvy companion for work and play.",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-trailblazer-ls-KL79MMSLXRB048937
50,2023,,Chevrolet,Trailblazer,FWD 4dr LT,KL79MPSL0PB151105,TRUE,Crimson Metallic,Jet Black,3,Front Wheel Drive,,Variable,29,33,Gasoline Fuel,30270,4,," Compact spice with big-SUV swagger, zips through city streets, embraces weekend adventures, tech-savvy companion for work and play.",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-trailblazer-ls-KL79MMSLXRB048937
51,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 147"" LT",3GCPACEK8PG263477,TRUE,Black,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,19,22,Gasoline Fuel,52235,8,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
52,2023,,Chevrolet,Equinox,FWD 4dr LS w/1LS,3GNAXHEG5PL272049,TRUE,Sterling Gray Metallic,Medium Ash Gray,4,Front Wheel Drive,Automatic,Automatic,26,31,Gasoline Fuel,29570,4,,"Stylishly spacious SUV, zips through commutes, fuels weekend escapes, versatile enough for family adventures, hints of sporty fun when unleashed.",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-equinox-ls-3GNAXHEG4RL138703
53,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACED0PG320935,TRUE,Radiant Red Tintcoat,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,17,21,Gasoline Fuel,54930,4,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
54,2020,,Nissan,Maxima,S 3.5L,1N4AA6BV2LC375751,FALSE,Pearl White Tricoat,Charcoal,6,Front Wheel Drive,,Variable,20,30,Gasoline Fuel,27595,24745,"Clean CARFAX. Pearl White Tricoat 2020 Nissan Maxima 3.5 S FWD CVT with Xtronic 3.5L V6 DOHC 24V 18 Machined Alloy Wheels, Automatic temperature control, Front dual zone A/C, Rear Parking Sensors, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel.Recent Arrival! 20/30 City/Highway MPGAwards:* JD Power Automotive Performance, Execution and Layout (APEAL) Study, Initial Quality Study (IQS)If you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call."," Where sleek luxury meets hidden beast, a sedan that slinks through weekdays and devours twisty roads on weekends",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
55,2023,,Chevrolet,Equinox,FWD 4dr LS w/1LS,3GNAXHEG1PL272016,TRUE,Sterling Gray Metallic,Medium Ash Gray,4,Front Wheel Drive,Automatic,Automatic,26,31,Gasoline Fuel,29570,3,,"Stylishly spacious SUV, zips through commutes, fuels weekend escapes, versatile enough for family adventures, hints of sporty fun when unleashed.",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-equinox-ls-3GNAXHEG4RL138703
56,2020,,Chevrolet,Traverse,FWD 4dr LT Cloth w/1LT,1GNERGKW2LJ153362,FALSE,Cajun Red Tintcoat,Jet Black,6,Front Wheel Drive,Automatic,Automatic,18,27,Gasoline Fuel,32995,30676,"CARFAX One-Owner. Clean CARFAX. Cajun Red Tintcoat 2020 Chevrolet Traverse LT 1LT FWD 9-Speed Automatic 3.6L V6 SIDI VVT Factory Certified, 1st & 2nd Row All-Weather Floor Liner (LPO), 3rd Row All-Weather Floor Liner (LPO), Automatic temperature control, Floor Liner Package (LPO), Front dual zone A/C, Integrated Cargo Liner (LPO), Preferred Equipment Group 1LT, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Wheels: 18 Bright Silver Painted Aluminum.Recent Arrival! Odometer is 12673 miles below market average! 18/27 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","Traverse tames family chaos with its cavernous comfort, powerful towing muscle, and tech-fueled safety, all wrapped in a rugged, adventure-ready SUV. ????",https://www.goschauto.com/vehicle-details/new-2023-chevrolet-traverse-premier-1GNEVKKW5PJ320625
57,2023,,Chevrolet,Traverse,FWD 4dr LT Cloth w/1LT,1GNERGKW0PJ270704,TRUE,Summit White,Jet Black,6,Front Wheel Drive,Automatic,Automatic,18,27,Gasoline Fuel,40100,4,,"Traverse tames family chaos with its cavernous comfort, powerful towing muscle, and tech-fueled safety, all wrapped in a rugged, adventure-ready SUV. ????",https://www.goschauto.com/vehicle-details/new-2023-chevrolet-traverse-premier-1GNEVKKW5PJ320625
58,2023,,Chevrolet,Traverse,FWD 4dr LT Cloth w/1LT,1GNERGKW6PJ269721,TRUE,Sterling Gray Metallic,Jet Black,6,Front Wheel Drive,Automatic,Automatic,18,27,Gasoline Fuel,39865,4,,"Traverse tames family chaos with its cavernous comfort, powerful towing muscle, and tech-fueled safety, all wrapped in a rugged, adventure-ready SUV. ????",https://www.goschauto.com/vehicle-details/new-2023-chevrolet-traverse-premier-1GNEVKKW5PJ320625
59,2020,,Chevrolet,Malibu,4dr Sdn LT,1G1ZD5ST9LF124892,FALSE,Silver Ice Metallic,Jet Black,4,Front Wheel Drive,Automatic,Automatic,29,36,Gasoline Fuel,19995,61594,"Prior Rental. CARFAX One-Owner. Clean CARFAX. Silver Ice Metallic 2020 Chevrolet Malibu LT FWD CVT 1.5L DOHC **CARFAX 1 OWNER **, **NAVIGATION / GPS / NAVI **, **CLEAN CARFAX**, Prior Rental, Jet Black Cloth.29/36 City/Highway MPGAwards:* JD Power Initial Quality StudyIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","a choice between efficient hybrid and potent gasoline engines, spacious comfort features, and advanced technology, making it a stylish sedan for everyday journeys.",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-malibu-lt-1G1ZD5ST0RF108041
60,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACED7PG327199,TRUE,Summit White,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,17,21,Gasoline Fuel,67670,2,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
61,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACED0PG327013,TRUE,Summit White,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,17,21,Gasoline Fuel,54675,2,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
62,2019,,Chevrolet,Silverado 1500,"4WD Crew Cab 147"" High Country",1GCUYHEL5KZ408570,FALSE,Black,Jet Black,8,Four Wheel Drive,Automatic,Automatic,16,20,Gasoline Fuel,53598,37125,"CARFAX One-Owner. Clean CARFAX. Black 2019 Chevrolet Silverado 1500 High Country 4WD 10-Speed Automatic EcoTec3 6.2L V8 10-Way Power Driver Seat w/Lumbar, 10-Way Power Passenger Seat Adjuster w/Lumbar, 120-Volt Bed Mounted Power Outlet, 120-Volt Instrument Panel Power Outlet, 12-Volt Rear Auxiliary Power Outlet, 170 Amp Alternator, 2nd Row Heated Outboard Seats, 8 Driver Information Center, Advanced Trailering System, All-Weather Floor Liner (LPO), Auto-Dimming Inside Rear-View Mirror, Auxiliary External Transmission Oil Cooler, Bluetooth® For Phone, Chevrolet Connected Access, Chevrolet w/4G LTE, Chevytec Spray-On Black Bedliner, Chrome Assist Steps, Chrome Grille, Chrome Recovery Hooks, Color-Keyed Carpeting Floor Covering, Compass, Deep-Tinted Glass, Driver Memory, Dual Exhaust w/Polished Outlets, Electric Rear-Window Defogger, Electrical Lock Control Steering Column, Electronic Cruise Control, Floor Mounted Console, Following Distance Indicator, Forward Collision Alert, Front Carpeted Floor Mats, Front LED Fog Lamps, Front Pedestrian Braking, HD Radio, HD Rear Vision Camera, Heated Driver & Front Passenger Seats, Heated Steering Wheel, Heavy-Duty Rear Locking Differential, High Country Deluxe, Hitch Guidance, Hitch Guidance w/Hitch View, Integrated Trailer Brake Controller, IntelliBeam Automatic High Beam On/Off, Keyless Open & Start, Lane Change Alert w/Side Blind Zone Alert, Lane Keep Assist w/Lane Departure Warning, Leather Wrapped Steering Wheel, LED Cargo Area Lighting, Low Speed Forward Automatic Braking, Manual Tilt/Telescoping Steering Column, Navigation System, OnStar & Chevrolet Connected Services Capable, Outside Heated Power-Adjustable Mirrors, Painted Mirror Caps, Power Door Locks, Power Front Passenger Windows w/Express Up/Down, Power Front Windows w/Driver Express Up/Down, Power Rear Windows w/Express Down, Power Sliding Rear Window w/Rear Defogger, Power Sunroof, Preferred Equipment Group 3LZ, Rear Carpeted Floor Mats, Rear Cross Traffic Alert, Rear Dual USB Charging-Only Por","Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
63,2017,,Honda,Civic Hatchback,EX CVT,SHHFK7H54HU416965,FALSE,Black,,4,Front Wheel Drive,,Variable,31,40,Gasoline Fuel,20995,66599,"CARFAX One-Owner. Crystal Black Pearl 2017 Honda Civic EX FWD CVT 1.5L I4 DOHC 16V Black w/Cloth Seat Trim, 17 Alloy Wheels, Apple CarPlay/Android Auto, Automatic temperature control, Exterior Parking Camera Rear, Front dual zone A/C, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel.Odometer is 9048 miles below market average! 31/40 City/Highway MPGAwards:* 2017 KBB.com 10 Most Awarded Brands * 2017 KBB.com Brand Image AwardsKelley Blue Book Brand Image Awards are based on the Brand Watch(tm) study from Kelley Blue Book Market Intelligence. Award calculated among non-luxury shoppers. For more information, visit www.kbb.com. Kelley Blue Book is a registered trademark of Kelley Blue Book Co., Inc.If you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","Zooms through city streets, fuel-sipping friend, spacious enough for weekend gear, sporty soul waiting to be unleashed.",
64,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACED7PG327008,TRUE,Summit White,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,17,21,Gasoline Fuel,54675,2,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
65,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACED8PG306393,TRUE,Red Hot,Gideon/Very Dark Atmosphere,4,Rear Wheel Drive,Automatic,Automatic,17,21,Gasoline Fuel,54435,6,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
66,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACED8PG327020,TRUE,Summit White,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,17,21,Gasoline Fuel,54675,2,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
67,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACEDXPG327200,TRUE,Summit White,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,17,21,Gasoline Fuel,54675,2,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
68,2023,,Chevrolet,Equinox,FWD 4dr LS w/1LS,3GNAXHEG1PL259752,TRUE,Summit White,Medium Ash Gray,4,Front Wheel Drive,Automatic,Automatic,26,31,Gasoline Fuel,28850,7,,"Stylishly spacious SUV, zips through commutes, fuels weekend escapes, versatile enough for family adventures, hints of sporty fun when unleashed.",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-equinox-ls-3GNAXHEG4RL138703
69,2023,,Chevrolet,Equinox,FWD 4dr LS w/1LS,3GNAXHEG4PL267490,TRUE,Summit White,Medium Ash Gray,4,Front Wheel Drive,Automatic,Automatic,26,31,Gasoline Fuel,28850,8,,"Stylishly spacious SUV, zips through commutes, fuels weekend escapes, versatile enough for family adventures, hints of sporty fun when unleashed.",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-equinox-ls-3GNAXHEG4RL138703
70,2023,,Chevrolet,Equinox,FWD 4dr LS w/1LS,3GNAXHEG6PL259763,TRUE,Summit White,Medium Ash Gray,4,Front Wheel Drive,Automatic,Automatic,26,31,Gasoline Fuel,28850,7,,"Stylishly spacious SUV, zips through commutes, fuels weekend escapes, versatile enough for family adventures, hints of sporty fun when unleashed.",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-equinox-ls-3GNAXHEG4RL138703
71,2023,,Chevrolet,Equinox,FWD 4dr LS w/1LS,3GNAXHEG7PL266947,TRUE,Sterling Gray Metallic,Medium Ash Gray,4,Front Wheel Drive,Automatic,Automatic,26,31,Gasoline Fuel,29240,8,,"Stylishly spacious SUV, zips through commutes, fuels weekend escapes, versatile enough for family adventures, hints of sporty fun when unleashed.",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-equinox-ls-3GNAXHEG4RL138703
72,2023,,Chevrolet,Equinox,FWD 4dr LS w/1LS,3GNAXHEG8PL259764,TRUE,Summit White,Medium Ash Gray,4,Front Wheel Drive,Automatic,Automatic,26,31,Gasoline Fuel,28850,8,,"Stylishly spacious SUV, zips through commutes, fuels weekend escapes, versatile enough for family adventures, hints of sporty fun when unleashed.",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-equinox-ls-3GNAXHEG4RL138703
73,2023,,Chevrolet,Equinox,FWD 4dr LS w/1LS,3GNAXHEG8PL267475,TRUE,Summit White,Medium Ash Gray,4,Front Wheel Drive,Automatic,Automatic,26,31,Gasoline Fuel,28850,8,,"Stylishly spacious SUV, zips through commutes, fuels weekend escapes, versatile enough for family adventures, hints of sporty fun when unleashed.",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-equinox-ls-3GNAXHEG4RL138703
74,2023,,Chevrolet,Blazer,FWD 4dr LT w/3LT,3GNKBDR42PS216345,TRUE,Black,Jet Black,4,Front Wheel Drive,Automatic,Automatic,22,29,Gasoline Fuel,41200,8,,"Blazer boasts powerful engines, agile handling, spacious comfort, tech-savvy features, and safety options, making it a versatile SUV for adventure seekers.",https://www.goschchevy.com/inventory/new-2024-chevrolet-blazer-rs-front-wheel-drive-suv-3gnkbers6rs181297/
75,2022,,Hyundai,Santa Fe,SEL FWD,5NMS24AJ4NH398029,FALSE,Calypso Red,Beige,4,Front Wheel Drive,Automatic,Automatic,25,28,Gasoline Fuel,28995,13635,CARFAX One-Owner. Clean CARFAX. Calypso Red 2022 Hyundai Santa Fe SEL FWD 8-Speed Automatic with SHIFTRONIC 2.5L I4 Beige Leather.Recent Arrival! Odometer is 2920 miles below market average! 25/28 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.,"Your family's stylish haven for weekday commutes, weekend getaways, and everything in between. Spacious, comfy, and ready for adventure, on or off the beaten path",https://www.goschchevy.com/inventory/new-2024-chevrolet-blazer-rs-front-wheel-drive-suv-3gnkbers6rs181297/
76,2024,,Chevrolet,Trax,FWD 4dr ACTIV,KL77LKE27RC006530,TRUE,Mosaic Black Metallic,Jet Black with Artemis accents,3,Front Wheel Drive,Automatic,Automatic,28,32,Gasoline Fuel,27645,5,,"
Trax zips through city streets with its peppy engine, fuel-efficient charm, and compact practicality, making it a budget-friendly urban runabout. ",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-trax-activ-KL77LKE27RC168965
77,2018,,Chevrolet,Volt,5dr HB LT,1G1RC6S57JU128782,FALSE,Summit White,Jet Black/Jet Black,4,Front Wheel Drive,Automatic,Automatic,43,42,Hybrid Fuel,20995,97169,"Clean CARFAX. Summit White 2018 Chevrolet Volt LT FWD 1-Speed Automatic 1.5L VVT DI DOHC 4-Cylinder Range Extender 6-Speaker Audio System Feature, Automatic temperature control, Exterior Parking Camera Rear, Preferred Equipment Group 2LT, Premium audio system: Chevrolet MyLink, Radio: Chevrolet MyLink AM/FM Stereo, SiriusXM Satellite Radio, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Wheels: 17 x 7 5-Spoke Painted Aluminum.Awards:* 2018 IIHS Top Safety Pick with optional front crash prevention * 2018 KBB.com 10 Most Awarded BrandsIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","Electrically powered everyday hero, whispers past gas stations, ready for weekend escapes with a backup engine roar",https://www.goschchevy.com/inventory/new-2024-chevrolet-blazer-rs-front-wheel-drive-suv-3gnkbers6rs181297/
78,2020,,Tesla,Model 3,Standard Range Plus RWD,5YJ3E1EA9LF597385,FALSE,White,,,Rear Wheel Drive,Automatic,Automatic,0,0,Electric Fuel System,29995,60087,"Clean CARFAX. Pearl White Multi-Coat 2020 Tesla Model 3 Standard Range Plus RWD 1-Speed Automatic Electric ZEV 271hp Automatic temperature control, Exterior Parking Camera Rear, Front dual zone A/C, Navigation System, Radio: Upgraded Audio System, Steering wheel mounted A/C controls, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Wheels: 18 x 8.5 Aero.Recent Arrival! 148/132 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","Tech-powered rocket on four wheels, zipping through commutes, thrilling with instant torque, and recharging your life with sustainability.",https://www.goschchevy.com/inventory/new-2024-chevrolet-blazer-rs-front-wheel-drive-suv-3gnkbers6rs181297/
79,2023,,Chevrolet,Silverado 1500,"2WD Double Cab 147"" Custom",1GCRABEK9PZ291663,TRUE,Summit White,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,19,22,Gasoline Fuel,45590,2,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
